Gene Symbol,Gene ID,Disease Name,Disease ID,Direct Evidence,Inference Network,Inference Score,Reference Count
DRD2,1813,Schizophrenia,MESH:D012559,marker/mechanism,acetophenazine|Dextroamphetamine|Amphetamine|Apomorphine|Aripiprazole|Bromocriptine|bromperidol|Caffeine|Carbamazepine|Chlorpromazine|Chlorprothixene|Clozapine|Cocaine|Copper|Dopamine|Fluoxetine|Fluphenazine|Haloperidol|lamotrigine|Lithium|Loxapine|Methamphetamine|Methotrimeprazine|Metoclopramide|Molindone|nemonapride|Norepinephrine|olanzapine|Paliperidone Palmitate|perospirone|Perphenazine|perphenazine GABA ester|Phencyclidine|Phenobarbital|Pimozide|Piribedil|Quetiapine Fumarate|Remoxipride|Reserpine|Risperidone|Sulpiride|sultopride|Thioridazine|Trifluoperazine|Valproic Acid|Vitamin A|ziprasidone,131.68,431
PRL,5617,Schizophrenia,MESH:D012559,,Dextroamphetamine|Apomorphine|Aripiprazole|Bromocriptine|Chlorpromazine|Chlorprothixene|Clonidine|Clozapine|Cocaine|Copper|Cytarabine|Dehydroepiandrosterone|Dopamine|Fenfluramine|Fluoxetine|Fluphenazine|Haloperidol|haloperidol decanoate|Lithium|Methamphetamine|Metoclopramide|Molindone|olanzapine|Paliperidone Palmitate|perospirone|Perphenazine|perphenazine GABA ester|Pimozide|Quetiapine Fumarate|Reserpine|Risperidone|Sulpiride|sultopride|Thioridazine|Trifluoperazine|Venlafaxine Hydrochloride|zotepine,92.90,414
BDNF,627,Schizophrenia,MESH:D012559,marker/mechanism,"gamma-Aminobutyric Acid|Dextroamphetamine|Amphetamine|benserazide, levodopa drug combination|Bromocriptine|Caffeine|Cannabidiol|Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Copper|Diazepam|Dopamine|Fluoxetine|Folic Acid|Haloperidol|Imipramine|Ketamine|lamotrigine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Muscimol|olanzapine|Paliperidone Palmitate|Phenobarbital|Plant Preparations|Quetiapine Fumarate|Reserpine|Risperidone|Sertraline|Smoke|Valproic Acid|Venlafaxine Hydrochloride",82.49,375
KCNH2,3757,Schizophrenia,MESH:D012559,,1-(3-(3-(4-chlorophenyl)propoxy)propyl)piperidine|Amitriptyline|Aripiprazole|Benperidol|Benztropine|bromperidol|Chlorpromazine|Chlorprothixene|Clozapine|Fluoxetine|Flupenthixol|Haloperidol|Imipramine|lamotrigine|Loxapine|Mesoridazine|Metoclopramide|olanzapine|Paliperidone Palmitate|periciazine|perospirone|Perphenazine|phenothiazine|Pimozide|piperacetazine|Propranolol|Quetiapine Fumarate|Reserpine|Risperidone|sertindole|Sertraline|Thioridazine|Trazodone|Trifluoperazine|Valproic Acid|Venlafaxine Hydrochloride|ziprasidone,80.59,388
DRD2,1813,"Schizophrenia, Paranoid",MESH:D012563,,Aripiprazole|Carbamazepine|Chlorpromazine|Chlorprothixene|Clozapine|Fluphenazine|Haloperidol|Loxapine|olanzapine|oxypertine|Perphenazine|Quetiapine Fumarate|Risperidone|Sulpiride|sultopride|Thioridazine|Trifluoperazine|ziprasidone,77.15,65
HTR2C,3358,Schizophrenia,MESH:D012559,,Amitriptyline|Aripiprazole|Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Dopamine|Fenfluramine|Fluoxetine|Fluphenazine|Folic Acid|Haloperidol|Imipramine|Lipopolysaccharides|Loxapine|Methamphetamine|norclozapine|olanzapine|Risperidone|Sertraline|Trazodone|Valproic Acid|Venlafaxine Hydrochloride|ziprasidone,73.83,374
DRD1,1812,Schizophrenia,MESH:D012559,marker/mechanism,gamma-Aminobutyric Acid|Amitriptyline|Amphetamine|Apomorphine|Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Copper|Dopamine|Flupenthixol|Fluphenazine|Haloperidol|Lithium|Loxapine|Methamphetamine|Metoclopramide|Norepinephrine|olanzapine|Paliperidone Palmitate|Perphenazine|Phencyclidine|Reserpine|Risperidone|Sertraline|Valproic Acid,70.00,378
CYP2D6,1565,Schizophrenia,MESH:D012559,,1-(3-(3-(4-chlorophenyl)propoxy)propyl)piperidine|Amitriptyline|Amphetamine|Aripiprazole|Caffeine|Cannabidiol|Carbamazepine|Chlorpromazine|Clozapine|Copper|Dopamine|Fluoxetine|Haloperidol|Imipramine|lamotrigine|Loxapine|Methamphetamine|Methotrimeprazine|Metoclopramide|norclozapine|Paliperidone Palmitate|Phencyclidine|Phenobarbital|Promethazine|Propranolol|Quetiapine Fumarate|Risperidone|Sertraline|Thioridazine|Valproic Acid|Venlafaxine Hydrochloride,69.92,352
FOS,2353,Schizophrenia,MESH:D012559,,1-(quinoxalin-6-ylcarbonyl)piperidine|Dextroamphetamine|Amphetamine|Apomorphine|Caffeine|Cannabidiol|Carbamazepine|Chlorpromazine|Clonidine|Clozapine|Cocaine|Copper|Dehydroepiandrosterone|Diazepam|Dopamine|Fenfluramine|Fluoxetine|Folic Acid|Haloperidol|Imipramine|Ketamine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|modafinil|Muscimol|Norepinephrine|olanzapine|Phencyclidine|Phenobarbital|Pimozide|Plant Preparations|Propranolol|Reserpine|Risperidone|Sertraline|Smoke|Tetrachloroethylene|Valproic Acid|Vitamin D,65.03,370
HTR2A,3356,Schizophrenia,MESH:D012559,marker/mechanism,Aripiprazole|Clozapine|Cocaine|Dopamine|Fenfluramine|Fluoxetine|Fluphenazine|Haloperidol|Imipramine|Loxapine|Methamphetamine|norclozapine|olanzapine|Paliperidone Palmitate|perphenazine GABA ester|Phencyclidine|pimavanserin|Quetiapine Fumarate|Risperidone|Sertraline|Trazodone|Valproic Acid|ziprasidone,61.92,368
PRL,5617,"Schizophrenia, Paranoid",MESH:D012563,,Aripiprazole|Chlorpromazine|Chlorprothixene|Clozapine|Fluphenazine|Haloperidol|Magnesium|olanzapine|Perphenazine|Quetiapine Fumarate|Risperidone|Sulpiride|sultopride|Thioridazine|Trifluoperazine,60.24,65
KCNH2,3757,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Aripiprazole|Benztropine|Chlorpromazine|Chlorprothixene|Clopenthixol|Clozapine|Haloperidol|Loxapine|olanzapine|Perphenazine|Quetiapine Fumarate|Risperidone|Thioridazine|Trifluoperazine|ziprasidone,60.21,63
CYP3A4,1576,Schizophrenia,MESH:D012559,,Alprazolam|Amitriptyline|Amphetamine|Aripiprazole|Bromocriptine|Caffeine|Cannabidiol|Carbamazepine|Chlorpromazine|Clozapine|Dehydroepiandrosterone|Diazepam|Dopamine|Eicosapentaenoic Acid|Fluoxetine|Fluphenazine|Glucocorticoids|Haloperidol|Imipramine|Ketamine|lamotrigine|Lipopolysaccharides|Loxapine|Methamphetamine|norclozapine|oxcarbazepine|Phencyclidine|Phenobarbital|Plant Preparations|Propranolol|Quetiapine Fumarate|Reserpine|Risperidone|Sertraline|Thioridazine|Trazodone|Valproic Acid|Venlafaxine Hydrochloride|Vitamin D,60.02,375
CAT,847,Schizophrenia,MESH:D012559,,S-Adenosylmethionine|gamma-Aminobutyric Acid|Homocysteine|Amitriptyline|Dextroamphetamine|Amphetamine|Caffeine|Carbamazepine|Chlorpromazine|Clozapine|Cocaine|Copper|Dehydroepiandrosterone|Diazepam|Dopamine|Eicosapentaenoic Acid|Epinephrine|Fluoxetine|Fluphenazine|Folic Acid|Haloperidol|Calcifediol|Imipramine|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|Norepinephrine|olanzapine|Phenobarbital|Plant Preparations|Quetiapine Fumarate|Reserpine|Sertraline|Smoke|Sulpiride|Tetrachloroethylene|Trazodone|Valproic Acid|Venlafaxine Hydrochloride|Vitamin A|Vitamin B 12,56.77,330
HTR1A,3350,Schizophrenia,MESH:D012559,,Amitriptyline|Apomorphine|Aripiprazole|bifeprunox|Carbamazepine|Chlorprothixene|Clozapine|Cocaine|Fluoxetine|Imipramine|Lipopolysaccharides|Loxapine|Methamphetamine|Propranolol|Remoxipride|Reserpine|Risperidone|Sertraline|Trazodone|Venlafaxine Hydrochloride|ziprasidone,55.31,256
SLC22A2,6582,Schizophrenia,MESH:D012559,,Alprazolam|Amitriptyline|Apomorphine|Benztropine|Chlorpromazine|Clonidine|Clozapine|Copper|Diazepam|Dopamine|Epinephrine|Fluoxetine|Fluphenazine|Haloperidol|Imipramine|Metoclopramide|Norepinephrine|olanzapine|perospirone|Perphenazine|Procyclidine|Propranolol|Thioridazine|Trazodone|Trihexyphenidyl|Valproic Acid,54.14,308
TH,7054,Schizophrenia,MESH:D012559,,"Dextroamphetamine|Amphetamine|benserazide, levodopa drug combination|Caffeine|Clonidine|Clozapine|Cocaine|Cytarabine|Dopamine|Epinephrine|Fluoxetine|Haloperidol|Ketamine|Lipopolysaccharides|Lithium|Methamphetamine|Norepinephrine|olanzapine|Phencyclidine|Plant Preparations|Reserpine|Risperidone|Sulpiride|Valproic Acid|Vitamin D",53.45,347
HTR2C,3358,"Schizophrenia, Paranoid",MESH:D012563,,Amitriptyline|Aripiprazole|Carbamazepine|Chlorpromazine|Clozapine|Fluphenazine|Haloperidol|Loxapine|olanzapine|Risperidone|ziprasidone,51.09,57
CRH,1392,Schizophrenia,MESH:D012559,,Alprazolam|gamma-Aminobutyric Acid|Amphetamine|Chlorpromazine|Clozapine|Cocaine|Epinephrine|Fluoxetine|Glucocorticoids|Haloperidol|Imipramine|Ketamine|Lipopolysaccharides|Methamphetamine|Norepinephrine|Propranolol|Reserpine|Risperidone|Thioridazine|Valproic Acid,49.80,325
SOD1,6647,Schizophrenia,MESH:D012559,,S-Adenosylmethionine|Homocysteine|Amitriptyline|Dextroamphetamine|Amphetamine|Bromocriptine|Cannabidiol|Chlorpromazine|Clozapine|Cocaine|Copper|Dopamine|Eicosapentaenoic Acid|Epinephrine|Fluoxetine|Folic Acid|Haloperidol|Lipopolysaccharides|Lithium|Methamphetamine|Methionine|olanzapine|Phencyclidine|Phenobarbital|Plant Preparations|Quetiapine Fumarate|Risperidone|Smoke|Valproic Acid|Venlafaxine Hydrochloride|Vitamin A,49.71,367
NPY,4852,Schizophrenia,MESH:D012559,,Amitriptyline|Dextroamphetamine|Amphetamine|Clonidine|Clozapine|Cocaine|Cytarabine|Dopamine|Fluoxetine|Folic Acid|Haloperidol|Ketamine|Lithium|Methamphetamine|Methionine|Norepinephrine|olanzapine|Remoxipride|Reserpine|Valproic Acid,47.55,279
ABCB1,5243,Schizophrenia,MESH:D012559,,Amitriptyline|Bromocriptine|Carbamazepine|Chlorpromazine|Clozapine|Copper|Cytarabine|Flupenthixol|Haloperidol|Imipramine|lamotrigine|Lipopolysaccharides|Methamphetamine|Methionine|olanzapine|Paliperidone Palmitate|Phenobarbital|Plant Preparations|Propranolol|Quetiapine Fumarate|Reserpine|Risperidone|Sertraline|Smoke|Sulpiride|Trifluoperazine|Valproic Acid|Venlafaxine Hydrochloride|Vitamin A|Vitamin B 12,47.51,368
SLC6A4,6532,Schizophrenia,MESH:D012559,marker/mechanism,Dextroamphetamine|Amphetamine|Aripiprazole|Carbamazepine|Clozapine|Cocaine|Copper|Dopamine|Fluoxetine|Folic Acid|Haloperidol|Imipramine|Methamphetamine|Norepinephrine|Reserpine|Sertraline|Tetrachloroethylene|Venlafaxine Hydrochloride,46.26,244
DRD3,1814,Schizophrenia,MESH:D012559,marker/mechanism,Amitriptyline|Dextroamphetamine|Amphetamine|Apomorphine|Aripiprazole|Bromocriptine|Clozapine|Cocaine|Copper|Dopamine|Fluoxetine|Haloperidol|Methamphetamine|olanzapine|Paliperidone Palmitate|Piribedil|Risperidone,45.68,342
